BridgeID,12,13,14,15,16,17,18,19,20,21
100269,,10897.55825167784,9352.36032574265,,,9787.766290275342,,,,10005.650748496968
100271,9455.703219121948,,,,9955.388229089795,9717.15195410153,9487.749895070307,9650.860920605042,,9989.380905388465
100273,,10973.08711894188,,,,9757.441191293183,,9590.578304419652,9722.464323784261,
100275,,,,,10216.417313721468,9644.727504952118,,9613.173983790106,,10017.145515401467
100277,,10897.41102985027,,,10147.254396090606,,,9734.1775894202,,
100279,9278.411072792338,10905.450836313248,,,,9731.078994972704,,9605.04908828767,,
100281,,,9414.116677000116,10206.21848253203,10150.366965916415,,9399.753392969142,9801.03583762979,,
100283,23701.936875813495,,,25649.87839658292,26105.456014749412,24598.568378247954,,23821.486697126442,,25824.172544892837
100285,,,9390.75255098171,,10286.373278285411,,,,,9988.668447460672
100287,,,,,10356.569824807502,9841.990206152834,,,,
100289,,27253.198569252334,23576.441857199057,25417.205731058228,,24602.851805498514,,,24094.148556501423,24746.919070540356
100291,,,,,,10160.683863186701,9525.145839727475,9784.182304863443,,10382.567259092717
100293,9602.9462985514,,,,10384.444424884612,,9581.166403133435,9895.107003906456,9808.673054571935,
100295,9687.277236637792,10990.04529172527,,10310.688979798977,,10085.924331267954,9793.778318122044,,,
100297,,28069.359508235495,,26328.303199310805,,,,25200.96703680561,,
100299,,,,,10327.1457273022,10013.072272639769,,9862.983641662553,9800.52638504827,10222.112387894993
100301,9638.817405899234,,,10556.530152384343,,10005.559821034387,,9996.656459325583,9861.290657040507,10323.578489000412
100303,,,9432.452605037219,10322.113353627277,10324.491248699767,10092.002304391415,,,,10208.993476379243
100305,,11117.036287208874,,,10500.97163147302,,,10068.072616896157,9867.995259871897,
100307,,,,10461.384485829472,10503.398009349465,10172.647169881,,10068.768720013153,10026.373526324882,10462.099862566734
100309,24168.654818575706,,24114.730562586483,26625.15353772634,,25743.901869870417,24431.292423877738,25146.964874518104,25079.51341793865,
100311,24791.63212291454,27949.334819751173,24424.586489720878,26260.72627989832,26364.141876970174,,,,,25960.872968341966
100313,9753.279315028198,,9572.985678166391,10617.918789521616,10505.709819180212,,9850.138224279714,10167.071899380644,10114.248697491841,
100315,9698.923795098633,,,,,,,10253.212065284386,,
100317,,,,,,,9788.274997728982,10239.76031851198,,
100319,,,,,10616.271191418156,10253.056083781627,9908.260042909042,,10097.720350480507,
100321,9646.675508603072,,9540.811338937481,10748.10541273749,,,,,10177.494921629614,10475.643289823143
100323,,,,10670.926637231898,,,,10362.209122025693,10165.220732688624,
100325,,,9841.948336717112,,,,,10502.202724809584,,10438.155192289403
100327,9818.178852576402,,9718.040765125223,,,10358.168379595649,,10447.023779899604,,
100329,24363.932742011606,28620.847868479945,,,,25674.34399859366,,,,
100331,,,,,,10270.118351225708,,10533.887167632458,10106.11885504652,10633.314702003028
100333,9709.051387976333,11376.953960288525,,,,,,,,10548.563554497972
100335,9691.370548713394,,,10847.752233141844,10685.15004842813,,,,10232.04204268203,10622.837039855161
100337,9905.949743574987,11311.147570013542,,,10576.563423561955,10333.228749834838,,10354.891026459663,10271.832433213778,10594.674153063144
100339,,,,,,,9883.9642483938,10423.972170543615,,
100341,9979.318445008983,11368.931950727943,9843.765860367448,10977.313910378305,,,,10649.600185628185,10180.70326901394,
100343,,11339.595102002206,,10910.738278912131,,,,10531.537404351098,10193.734233151792,
100345,,,9961.369571638623,10976.639811707186,10804.529645550418,10353.039894064395,9935.014565824848,,,
100347,,11360.87596783265,9873.57028148464,,,10481.29634403111,9883.171138775668,,10178.833564577499,10598.808082575757
100349,9921.565545836065,,,11066.820624053431,10527.274202883513,10635.645462387336,10063.62031879218,,10295.795607468455,10764.853691872442
100351,,11403.98669845993,9828.094109049694,,,,,10635.655794913671,10445.343881713632,
100353,,11406.597658164983,9912.70252901678,10842.713877698396,10736.432248336878,,,10555.477410579942,10426.015384741315,10770.612051699367
100355,24615.730431231295,,,,27019.312361369954,26950.04116827619,25503.9276245467,,,
100357,10113.881580103613,11444.358930058163,,,,10646.857761233496,,10693.132890373336,10652.086723498553,
100359,,,25134.158063006405,27260.670558742415,,,,,,27013.691373147452
100361,,,10308.354014656788,10954.596847874089,10816.564765296735,10800.681588916557,10022.48080667163,,,10878.83068236458
100363,10153.357331109904,11361.030674212294,,,,,,,,
100365,,11611.324385332693,,,10870.458871974837,,,10547.083144812677,10581.481648489025,11054.610862095911
100367,,,,11087.515176031937,11029.902020316904,10797.817308476637,,10647.290818191335,,
100369,25441.578718000485,,25597.150914984373,,,27068.422172409904,,26842.572486924324,,26897.925967903473
100371,10205.085546266855,,,,,,,,10633.291234060784,11006.982016529102
100373,10287.904047849364,11649.34459452002,10304.386576949977,11037.624484078577,,,,,10766.4981014087,
100375,,11692.166340667589,10214.838447062308,11122.353393372037,,10898.695460853838,,10735.334637327642,,11089.094561185782
100377,,,,,10956.528036666386,,,10941.36343793321,10744.419596980535,
100379,25660.84841807579,,25860.65778344705,,27696.569439120347,,25714.570299195162,27217.386401347758,,
100381,,,25815.283025575023,,28409.59205513772,27320.8925626152,,27687.784236815613,,
100383,,,10354.447435252998,,,11091.515770611662,,11180.668657683666,,11039.961013633492
100385,26091.614091161446,28855.9889774544,26557.536051646137,28380.221724150626,,,,27549.82838389629,,27981.453285812982
100387,10611.99426465984,,10580.457637155814,11085.183236050543,11113.524696576102,11037.633499549669,,,,
100389,,,10573.416593022506,,,11080.775181269926,,,10613.367008255735,11187.079535059715
