,road,id,model_type,name,lat,lon,length,condition,chainage
342,N1,100343,bridge,PURBOMOHADAB PUR SLAB CULVERT(L),22.6149899686274,91.6602670503268,4.6,A,201.999
343,N1,100344,link,Link,22.61337282141045,91.6614178617225,432.20000000000704,NaN,202.21699999999998
344,N1,100345,bridge,MADICAL MORE CULVERT,22.6117556741935,91.6625686731182,3.0,A,202.435
345,N1,100346,link,Link,22.60779755768495,91.66497161597084,1019.0249999999913,NaN,202.946
346,N1,100347,bridge,DOKHIN MOHADEB PUR BOX CULVERT,22.6038394411764,91.6673745588235,2.95,A,203.457
347,N1,100348,link,Link,22.603095068067148,91.66785564621844,190.27500000001683,NaN,203.554
348,N1,100349,bridge,KALIAVA BOX CULVERT,22.6023506949579,91.6683367336134,4.5,B,203.651
349,N1,100350,link,Link,22.5997586358049,91.6700779705512,684.1000000000025,NaN,203.99650000000003
350,N1,100351,bridge,SKM BOX CULVERT(1),22.5971665766519,91.671819207489,9.3,B,204.342
351,N1,100352,link,Link,22.595527378522,91.67285407212685,416.0999999999734,NaN,204.55349999999999
352,N1,100353,bridge,HATILOTA BOX CULVERT,22.5938881803921,91.6738889367647,4.5,A,204.765
353,N1,100354,link,Link,22.590461598584398,91.67546670272844,836.6250000000227,NaN,205.19
354,N1,100355,bridge,BAROCONDO BRIDGE,22.5870350167767,91.6770444686922,22.25,C,205.615
355,N1,100356,link,Link,22.5842718457061,91.67829175504579,672.6250000000023,NaN,205.9575
356,N1,100357,bridge,BAROGINDO CULVERT,22.5815086746355,91.6795390413994,2.5,A,206.3
357,N1,100358,link,Link,22.579150848793148,91.6805808914647,559.6500000000025,NaN,206.58300000000003
358,N1,100359,bridge,BARO-CUNDHOW BOX CULVERT,22.5767930229508,91.68162274153,10.2,A,206.866
359,N1,100360,link,Link,22.5735418080043,91.6828162035749,767.3999999999725,NaN,207.253
360,N1,100361,bridge,PHPMORE BON CULVERT,22.5702905930578,91.6840096656198,3.0,A,207.64
361,N1,100362,link,Link,22.569143699751997,91.68434816305779,267.40000000002453,NaN,207.7765
362,N1,100363,bridge,CHARA KANDI BOX CULVERT,22.5679968064462,91.6846866604958,8.2,A,207.913
363,N1,100364,link,Link,22.56720904904125,91.68493466206604,180.6499999999834,NaN,208.00650000000002
364,N1,100365,bridge,R. R TEXTAIL BOX CULVERT,22.5664212916363,91.6851826636363,4.5,A,208.1
365,N1,100366,link,Link,22.5624711889491,91.68634445306415,919.7000000000066,NaN,208.562
366,N1,100367,bridge,OHIDPUR BOX CULVERT,22.5585210862619,91.687506242492,4.1,A,209.024
367,N1,100368,link,Link,22.5564265319488,91.6881512787007,477.1500000000091,NaN,209.269
368,N1,100369,bridge,BARSH BARIA BRIDGE,22.5543319776357,91.6887963149094,21.6,B,209.514
369,N1,100370,link,Link,22.5505523493633,91.6907111876365,949.6999999999891,NaN,209.995
370,N1,100371,bridge,SOUTH BALSH KHALI BOX CULVERT,22.5467727210909,91.6926260603636,3.0,A,210.476
371,N1,100372,link,Link,22.5456312483636,91.6933785694545,295.90000000001135,NaN,210.626
